country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,49.8,49.8,52.6,55.4,58.2,61,63.8,66.6,69.4,72.2,75,77.8,80.6,83.4,86.2,89
Albania,95.6,95.5,95.3,95,94.8,94.6,94.4,94.1,93.9,93.7,93.4,93.2,93,92.8,92.5,92.5
Algeria,94.2,94.3,94.4,94.4,94.5,94.6,94.7,94.8,94.9,94.9,95,95.1,95.2,95.3,95.4,95.4
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,66.9,66.9,66.9,66.6,66.4,66.1,65.8,65.5,65.2,64.9,64.7,64.4,64.1,63.8,63.5,63.3
Argentina,99.7,99.7,99.7,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6
Armenia,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.2,99.2,99.2,99.2
Australia,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,93.1,93.3,93.4,93.5,93.6,93.7,93.8,93.9,94,94.1,94.2,94.3,94.4,94.5,94.6,94.8
Bangladesh,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98,98,98,98,98,98,98
Belarus,97.6,97.6,97.6,97.6,97.6,97.6,97.7,97.7,97.7,97.7,97.7,97.7,97.8,97.8,97.8,97.8
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,91.1,91.6,92.1,92.7,93.2,93.7,94.3,94.8,95.4,95.9,96.4,97,97.5,98,98.6,99.1
Benin,75.7,75.7,75.8,75.9,75.9,76,76,76.1,76.2,76.2,76.3,76.3,76.4,76.4,76.5,76.6
Bhutan,96.7,96.8,96.8,96.8,96.8,96.8,96.8,96.9,96.9,96.9,96.9,96.9,96.9,97,97,97
Bolivia,94.9,95.2,95.5,95.8,96.1,96.4,96.7,97,97.3,97.6,97.9,98.2,98.4,98.7,99,99.3
Bosnia and Herzegovina,97.5,96.9,96.9,96.9,96.9,96.9,96.9,96.9,97,97,97,97,97,97,97,97
Botswana,94.4,94.5,94.5,94.5,94.5,94.6,94.6,94.6,94.7,94.7,94.7,94.8,94.8,94.8,94.8,94.8
Brazil,98.2,98.3,98.3,98.4,98.5,98.5,98.6,98.6,98.7,98.8,98.8,98.9,98.9,99,99.2,99.3
Brunei,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7
Bulgaria,99.9,99.9,99.9,99.9,99.8,99.8,99.8,99.7,99.7,99.6,99.6,99.6,99.5,99.5,99.5,99.5
Burkina Faso,74.6,74.6,74.9,75.2,75.5,75.8,76.1,76.4,76.7,77,77.3,77.6,77.9,78.3,78.6,78.9
Burundi,82.4,82.8,83.2,83.6,84.1,84.5,84.9,85.3,85.7,86.1,86.5,86.9,87.4,87.8,88.2,88.2
Cambodia,74.9,76.3,77.7,79.1,80.5,81.8,83.2,84.6,86,87.4,88.8,90.2,91.6,92.9,94.3,95.7
Cameroon,79.7,80,80.2,80.5,80.8,81,81.3,81.6,81.8,82.1,82.4,82.6,82.9,83.2,83.4,83.7
Cape Verde,84.8,84.8,84.8,84.8,85.7,86.5,87.4,88.2,89.1,89.9,90.8,91.6,92.5,93.1,93.1,93.1
Central African Republic,74.3,74.3,74.3,74.3,74.3,74.3,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2
Chad,71.3,71.8,72.3,72.7,73.2,73.7,74.2,74.6,75.1,75.6,76,76.5,77,77.4,77.9,78.4
Chile,99,99,99.1,99.2,99.3,99.4,99.5,99.5,99.6,99.7,99.8,99.9,99.9,100,100,100
China,98.3,98.3,98.1,97.9,97.7,97.5,97.3,97.1,96.9,96.7,96.5,96.3,96.1,95.9,95.7,95.5
Colombia,97.7,97.9,98,98.2,98.3,98.5,98.6,98.8,98.9,99.1,99.2,99.3,99.5,99.6,99.8,99.8
Comoros,85.9,86.4,86.9,87.4,87.9,88.4,89,89.5,90,90.5,91,91.5,92,92.5,93,93
"Congo, Dem. Rep.",67.5,67.6,67.7,67.9,68,68.2,68.3,68.5,68.6,68.8,68.9,69.1,69.2,69.4,69.5,69.7
"Congo, Rep.",83.3,83.3,83.4,83.5,83.6,83.7,83.8,83.9,84,84.2,84.3,84.4,84.5,84.6,84.7,84.8
Costa Rica,99,99,99.1,99.2,99.2,99.3,99.3,99.4,99.4,99.5,99.5,99.6,99.7,99.7,99.7,99.7
Cote d'Ivoire,90.6,90.5,90.4,90.3,90.2,90.1,90,89.9,89.9,89.8,89.7,89.6,89.5,89.4,89.3,89.2
Croatia,100,100,100,100,100,99.9,99.9,99.8,99.8,99.8,99.7,99.7,99.7,99.6,99.6,99.6
